               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08603,            0.028004,                   0,             0.53966,             0.57292,             0.56152,             0.21131,            0.016673,             0.01049,                   0,            0.070462,           0.0032821,           0.0032821
                   1,            0.056579,            0.021195,                   0,             0.70069,              0.9375,             0.89181,             0.50618,            0.015974,           0.0063784,                   0,            0.040429,           0.0065826,           0.0065826
                   2,            0.049305,            0.016426,                   0,             0.94884,             0.96589,             0.96982,             0.57629,            0.010919,           0.0047314,                   0,            0.010363,           0.0098502,           0.0098502
                   3,            0.046676,            0.014442,                   0,             0.84949,              0.9407,             0.93017,             0.53572,            0.013468,           0.0047207,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.04134,            0.012917,                   0,             0.96412,             0.98958,             0.96283,             0.70462,           0.0076902,           0.0039145,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.038849,            0.012251,                   0,             0.96936,             0.98861,             0.97254,             0.69395,           0.0086169,           0.0035537,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.036108,            0.011668,                   0,             0.95916,             0.97847,             0.97395,             0.74432,           0.0082209,           0.0033479,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.036013,            0.010867,                   0,              0.9682,             0.98958,             0.96196,             0.65389,            0.011386,           0.0033792,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.034143,            0.011219,                   0,             0.96932,             0.98741,             0.96807,             0.73105,            0.006911,           0.0034226,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.030918,            0.010828,                   0,             0.96932,             0.98724,             0.98128,             0.76694,           0.0064493,           0.0034248,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.030547,            0.010476,                   0,             0.96678,             0.98958,             0.97499,             0.79354,           0.0060063,           0.0032353,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.029549,            0.010585,                   0,             0.96607,             0.98958,             0.97642,             0.73902,           0.0066177,           0.0035889,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.027874,            0.010742,                   0,             0.96841,             0.98958,             0.97359,             0.74051,           0.0070132,           0.0032085,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.028736,            0.010518,                   0,             0.96928,             0.98619,             0.97506,             0.75727,           0.0068383,           0.0036931,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.028187,            0.010614,                   0,             0.96824,             0.98958,             0.97165,              0.7746,           0.0070529,           0.0030048,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.028164,            0.009748,                   0,             0.96727,             0.98958,              0.9803,             0.78892,           0.0057947,           0.0033412,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.027003,           0.0097865,                   0,             0.96618,             0.98958,             0.97175,             0.76786,           0.0063146,           0.0032412,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.026257,           0.0095898,                   0,              0.9651,             0.98958,             0.97374,             0.78285,           0.0051781,            0.003264,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.027048,            0.010148,                   0,             0.96573,             0.98958,             0.97439,             0.80223,           0.0059613,            0.003084,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,             0.02803,           0.0092004,                   0,             0.95639,             0.98958,             0.96689,             0.79119,           0.0057993,           0.0032023,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.026725,           0.0096919,                   0,             0.96858,             0.96332,             0.97179,             0.80079,           0.0058875,           0.0031489,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.025987,           0.0097767,                   0,             0.97887,             0.96529,             0.97391,             0.78516,           0.0057371,           0.0030475,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.025839,           0.0096052,                   0,             0.96751,             0.97917,             0.97223,             0.78196,           0.0055202,           0.0033717,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.024623,           0.0095264,                   0,              0.9533,             0.97917,             0.97079,             0.80143,           0.0057039,           0.0031304,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.026033,           0.0092969,                   0,             0.94406,             0.98958,             0.97219,             0.78828,           0.0057084,           0.0037408,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.026533,           0.0091198,                   0,             0.96931,             0.98694,             0.97004,             0.78093,           0.0054281,           0.0033572,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.024986,           0.0087804,                   0,             0.96868,             0.98958,             0.96685,               0.798,           0.0061021,           0.0030938,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.023574,           0.0094117,                   0,             0.96612,             0.98958,             0.96106,             0.76561,           0.0054142,           0.0031568,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.024517,           0.0093142,                   0,             0.96806,             0.98958,             0.96943,             0.74549,           0.0060231,           0.0033988,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.024494,           0.0091799,                   0,             0.96768,             0.98958,             0.97583,             0.77913,           0.0057402,           0.0031786,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.024499,           0.0089988,                   0,             0.95103,             0.94792,             0.97152,             0.77268,           0.0059353,           0.0031457,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.024121,           0.0087952,                   0,             0.96811,             0.98958,               0.971,             0.80762,           0.0054312,           0.0029121,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.022819,           0.0090066,                   0,             0.94012,             0.98119,             0.97361,             0.77023,           0.0056283,           0.0036478,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.023889,           0.0088097,                   0,              0.9212,             0.94792,             0.95547,             0.78093,           0.0058476,           0.0035311,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.023682,            0.008844,                   0,             0.91976,             0.95524,             0.95469,             0.78389,           0.0058191,            0.003411,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.024179,           0.0088505,                   0,             0.95569,             0.97917,             0.96843,             0.77377,           0.0055945,           0.0029726,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.023139,           0.0086347,                   0,             0.96763,             0.98958,             0.97308,             0.78256,           0.0055827,           0.0030664,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.023859,           0.0084768,                   0,             0.92253,             0.99234,             0.97133,             0.80208,            0.005122,           0.0029236,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.022577,            0.008654,                   0,             0.94994,             0.98832,             0.96806,             0.79613,           0.0049857,            0.002984,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.021794,           0.0085321,                   0,             0.96664,             0.98958,             0.97149,             0.79848,           0.0051413,           0.0029229,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.021983,           0.0089223,                   0,             0.94941,             0.97735,             0.97378,             0.80829,           0.0047612,           0.0028951,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.023122,            0.008779,                   0,             0.96905,             0.97839,             0.97116,             0.79953,            0.004606,           0.0027803,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.021744,            0.008493,                   0,             0.94552,             0.90403,             0.95951,             0.76852,           0.0049164,           0.0034732,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,             0.02347,           0.0085732,                   0,             0.95957,             0.98903,             0.97097,             0.80019,           0.0045604,           0.0029821,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.022377,           0.0085658,                   0,              0.9399,             0.97752,             0.96417,             0.79274,           0.0047412,           0.0029717,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.021549,           0.0084363,                   0,             0.95994,             0.99846,             0.97252,             0.79363,           0.0045572,           0.0029641,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.021824,           0.0085603,                   0,             0.96902,             0.97762,              0.9632,             0.79339,           0.0054458,           0.0030991,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.021215,           0.0083911,                   0,             0.96725,             0.97917,             0.97458,             0.79045,           0.0058152,           0.0031437,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.020651,           0.0082836,                   0,             0.96904,             0.97828,              0.9646,             0.81497,           0.0044017,           0.0028215,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.021475,           0.0084394,                   0,             0.94791,             0.96875,             0.96405,             0.81617,             0.00485,           0.0029565,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.022266,            0.008335,                   0,              0.9468,             0.95833,             0.95642,             0.79374,           0.0053374,           0.0032108,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.02156,            0.008192,                   0,             0.92852,             0.94713,             0.95836,             0.77978,             0.00534,           0.0035504,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.021063,           0.0080442,                   0,             0.95939,             0.98436,             0.97237,             0.81547,           0.0047252,           0.0028231,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.020955,           0.0079021,                   0,             0.95943,             0.98533,             0.97895,             0.80846,           0.0051647,           0.0030063,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.021098,           0.0081053,                   0,             0.95702,             0.98958,             0.97872,             0.79065,           0.0047035,            0.003153,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.022522,           0.0083577,                   0,             0.95708,             0.96875,             0.96102,             0.77214,           0.0057653,           0.0031178,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.020075,           0.0081801,                   0,             0.95953,             0.98803,             0.96926,             0.77614,           0.0047409,           0.0028095,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.020579,            0.007981,                   0,             0.96934,             0.98786,             0.96553,             0.79446,           0.0044404,           0.0030371,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.020598,           0.0077794,                   0,              0.9351,             0.97917,             0.96693,             0.79815,           0.0044849,            0.003072,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.020704,           0.0080083,                   0,             0.93921,             0.98958,             0.96525,             0.81027,           0.0050048,           0.0030214,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.021407,           0.0079729,                   0,             0.91505,             0.95833,              0.9672,             0.78754,           0.0048932,           0.0030919,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.020934,           0.0078164,                   0,             0.94724,             0.98958,             0.97409,             0.79392,           0.0045983,           0.0029431,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.020576,           0.0079829,                   0,             0.95953,             0.98791,             0.96779,             0.79417,            0.004452,           0.0029838,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.019433,           0.0077376,                   0,             0.91251,             0.97782,             0.96624,             0.78343,           0.0042815,           0.0030508,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.019704,            0.007555,                   0,             0.90171,             0.96875,             0.95323,             0.73034,           0.0064283,           0.0037329,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.018841,            0.007616,                   0,             0.94462,             0.95833,             0.97535,             0.79258,           0.0052282,           0.0032492,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.019697,            0.007902,                   0,             0.93133,             0.98898,             0.97135,             0.79374,           0.0048416,           0.0030447,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.020689,           0.0079684,                   0,             0.96871,             0.96736,             0.96444,             0.79333,            0.004406,           0.0028826,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.019737,           0.0075242,                   0,             0.96801,             0.94552,              0.9721,             0.79543,           0.0045718,           0.0030452,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,             0.01991,           0.0077054,                   0,             0.93827,             0.95833,             0.96456,             0.79738,           0.0046586,           0.0030839,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.019469,           0.0080181,                   0,             0.96811,             0.97917,             0.96094,              0.8055,           0.0041395,           0.0027894,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.019249,           0.0074454,                   0,             0.95889,             0.95833,             0.97377,             0.81698,           0.0042624,           0.0028575,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.019225,           0.0074961,                   0,             0.94671,             0.95833,             0.96483,             0.77912,           0.0055051,           0.0034057,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.019573,           0.0074279,                   0,             0.92921,             0.95833,             0.96286,             0.79725,           0.0045262,           0.0031636,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.018943,           0.0077534,                   0,             0.90142,              0.9375,             0.96205,             0.78858,           0.0044405,           0.0030554,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.018562,           0.0074659,                   0,             0.95857,             0.98958,             0.97219,             0.80894,           0.0043662,           0.0028014,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.019625,           0.0076405,                   0,             0.95955,             0.98847,             0.97296,             0.81449,           0.0044349,           0.0028241,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,             0.01867,           0.0077171,                   0,             0.94927,             0.97469,             0.96966,             0.79602,           0.0043658,           0.0031391,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.019043,           0.0075045,                   0,             0.96565,             0.94792,             0.96856,             0.83066,           0.0041726,           0.0028684,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.019735,           0.0076357,                   0,             0.95714,             0.97917,             0.96727,             0.82155,           0.0042795,           0.0029864,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.018608,           0.0073832,                   0,             0.95869,               0.967,             0.97218,             0.80972,           0.0045147,           0.0031409,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.020039,           0.0075547,                   0,              0.9299,             0.96728,             0.95313,             0.77111,           0.0046116,           0.0033212,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.019503,           0.0071904,                   0,             0.91615,             0.97917,             0.96284,             0.79418,           0.0045226,           0.0031341,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019285,           0.0073058,                   0,             0.94622,             0.97917,             0.96474,             0.79703,           0.0044004,           0.0031061,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.018934,           0.0071042,                   0,             0.94657,             0.96875,             0.96653,             0.79167,            0.003993,           0.0030511,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.018896,           0.0072562,                   0,             0.96871,             0.96734,             0.97219,             0.79651,           0.0044235,           0.0029738,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.018765,           0.0072282,                   0,             0.93981,             0.97594,             0.96471,             0.78179,           0.0048404,           0.0034276,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.019127,           0.0073705,                   0,             0.90005,             0.98958,             0.96068,             0.77637,           0.0045721,           0.0031055,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.018436,           0.0071601,                   0,             0.94707,             0.95833,             0.96125,              0.7899,           0.0041396,           0.0030865,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.019445,           0.0075147,                   0,             0.93928,             0.96684,             0.96611,             0.81033,           0.0041737,           0.0029393,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.019107,           0.0072563,                   0,             0.92197,             0.98466,              0.9675,             0.79853,           0.0040879,           0.0029966,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.019653,           0.0074266,                   0,             0.93917,             0.96506,             0.96572,             0.81316,           0.0042126,            0.002769,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.018744,            0.007245,                   0,             0.91985,             0.97917,             0.97302,             0.80167,           0.0042018,            0.003012,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.018566,           0.0070779,                   0,               0.969,              0.9768,             0.97588,             0.81221,           0.0042264,           0.0028153,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.018673,           0.0071596,                   0,             0.93904,             0.97917,             0.97664,              0.8177,           0.0043115,           0.0029126,                   0,           0.0053965,           0.0053965,           0.0053965
